70000
Age0-9 Age10-19 Age20-29 Age30-49 Age50-69 Age70+ Gender ReadingGlasses Sunglasses 
00069.png 0 0 0 1 0 0 1 1 0 
00070.png 0 1 0 0 0 0 1 0 0 
00071.png 1 0 0 0 0 0 0 0 0 
00072.png 0 1 0 0 0 0 0 0 0 
00073.png 0 1 0 0 0 0 0 0 0 
00074.png 0 0 0 1 0 0 1 0 0 
00075.png 0 0 0 1 0 0 0 0 0 
00076.png 0 0 1 0 0 0 0 0 0 
00077.png 0 0 1 0 0 0 0 0 0 
00078.png 0 0 0 1 0 0 1 1 0 
00079.png 0 0 0 0 1 0 0 1 0 
00080.png 0 1 0 0 0 0 0 0 0 
00081.png 0 0 0 1 0 0 0 0 0 
00082.png 0 0 0 1 0 0 1 0 0 
00083.png 0 1 0 0 0 0 1 1 0 
00084.png 0 0 0 0 1 0 0 1 0 
00085.png 0 1 0 0 0 0 0 0 0 
00086.png 0 1 0 0 0 0 1 0 0 
00087.png 0 0 1 0 0 0 0 0 0 
00088.png 0 0 0 0 0 1 1 1 0 
00089.png 0 1 0 0 0 0 0 0 0 
00090.png 0 1 0 0 0 0 0 0 0 
00091.png 0 0 1 0 0 0 0 0 0 
00092.png 0 0 1 0 0 0 1 0 1 
00093.png 0 0 0 1 0 0 1 0 0 
00094.png 0 0 1 0 0 0 0 0 0 
00095.png 0 1 0 0 0 0 0 0 0 
00096.png 0 0 1 0 0 0 0 0 0 
00097.png 0 1 0 0 0 0 0 0 0 
00098.png 0 0 0 0 1 0 1 0 0 
00099.png 0 1 0 0 0 0 0 0 0 
00100.png 0 0 0 1 0 0 1 1 0 
00101.png 0 0 0 1 0 0 0 1 0 
00102.png 0 1 0 0 0 0 1 0 0 
00103.png 0 0 1 0 0 0 1 0 0 
00104.png 0 1 0 0 0 0 1 0 0 
00105.png 0 0 0 1 0 0 1 0 0 
00106.png 0 1 0 0 0 0 0 0 0 
00107.png 0 0 0 1 0 0 0 0 1 
00108.png 0 0 0 1 0 0 0 0 0 
00109.png 0 1 0 0 0 0 0 0 0 
00110.png 0 1 0 0 0 0 0 0 0 
00111.png 0 0 0 0 1 0 0 1 0 
00112.png 0 0 0 1 0 0 1 0 0 
00113.png 0 1 0 0 0 0 1 0 0 
00114.png 0 0 0 0 1 0 1 0 0 
00115.png 0 0 1 0 0 0 1 0 0 
00116.png 0 1 0 0 0 0 0 0 0 
00117.png 0 0 0 1 0 0 0 0 0 
00118.png 0 1 0 0 0 0 0 0 0 
00119.png 0 0 0 1 0 0 0 0 0 
00120.png 0 1 0 0 0 0 0 0 0 
00121.png 0 0 0 0 1 0 0 0 0 
00122.png 0 0 1 0 0 0 0 0 0 
00123.png 0 0 0 1 0 0 1 1 0 
00124.png 0 0 1 0 0 0 1 0 0 
00125.png 0 0 0 0 1 0 1 1 0 
00126.png 0 0 0 1 0 0 1 1 0 
00127.png 0 0 0 1 0 0 1 1 0 
00128.png 0 1 0 0 0 0 0 0 0 
00129.png 0 0 1 0 0 0 0 0 0 
00130.png 0 0 1 0 0 0 1 1 0 
00131.png 0 1 0 0 0 0 0 0 0 
00132.png 0 0 0 0 1 0 1 0 0 
00133.png 0 0 0 1 0 0 0 0 0 
00134.png 0 1 0 0 0 0 0 0 0 
00135.png 0 1 0 0 0 0 1 0 0 
00136.png 0 1 0 0 0 0 0 0 0 
00137.png 0 1 0 0 0 0 0 0 0 
00138.png 0 0 0 1 0 0 0 0 0 
00139.png 0 1 0 0 0 0 0 0 0 
00140.png 0 1 0 0 0 0 0 0 0 
00141.png 1 0 0 0 0 0 1 0 0 
00142.png 0 0 0 0 1 0 1 0 0 
00143.png 0 0 1 0 0 0 0 0 0 
00144.png 0 0 0 0 1 0 1 0 0 
00145.png 0 0 0 1 0 0 1 0 0 
00146.png 1 0 0 0 0 0 0 0 0 
00147.png 0 1 0 0 0 0 0 0 0 
00148.png 0 1 0 0 0 0 1 0 0 
00149.png 0 1 0 0 0 0 0 0 0 
00150.png 0 0 0 1 0 0 0 0 0 
00151.png 0 1 0 0 0 0 0 0 0 
00152.png 0 0 1 0 0 0 0 0 0 
00153.png 0 1 0 0 0 0 0 0 0 
00154.png 0 0 1 0 0 0 1 0 1 
00155.png 1 0 0 0 0 0 0 0 0 
00156.png 0 0 0 1 0 0 0 0 0 
00157.png 0 0 1 0 0 0 1 0 0 
00158.png 0 1 0 0 0 0 0 0 0 
00159.png 0 1 0 0 0 0 0 0 0 
00160.png 0 0 0 1 0 0 1 1 0 
00161.png 0 0 1 0 0 0 0 0 0 
00162.png 0 0 1 0 0 0 0 0 1 
00163.png 1 0 0 0 0 0 0 0 0 
00164.png 0 0 0 1 0 0 0 0 0 
00165.png 0 1 0 0 0 0 1 1 0 
00166.png 1 0 0 0 0 0 0 0 0 
00167.png 0 0 1 0 0 0 0 0 0 
00168.png 0 1 0 0 0 0 0 0 0 
00169.png 0 0 0 0 1 0 0 0 1 
00170.png 0 0 0 1 0 0 0 0 0 
00171.png 0 0 0 0 1 0 0 0 0 
00172.png 0 1 0 0 0 0 1 0 0 
00173.png 0 0 0 0 1 0 1 1 0 
00174.png 0 0 0 1 0 0 0 0 0 
00175.png 0 0 0 0 1 0 1 0 0 
00176.png 0 0 0 1 0 0 1 0 0 
00177.png 0 1 0 0 0 0 0 0 0 
00178.png 0 1 0 0 0 0 0 0 0 
00179.png 0 0 1 0 0 0 0 0 0 
00180.png 0 1 0 0 0 0 1 0 0 
00181.png 0 0 0 1 0 0 0 0 0 
00182.png 0 0 0 1 0 0 0 0 0 
00183.png 0 0 0 1 0 0 0 1 0 
00184.png 0 0 1 0 0 0 0 0 0 
00185.png 0 0 0 0 1 0 1 1 0 
00186.png 0 1 0 0 0 0 0 0 0 
00187.png 0 0 0 0 1 0 1 1 0 
00188.png 0 0 0 1 0 0 1 0 0 
00189.png 0 0 0 1 0 0 1 0 0 
00190.png 0 0 0 0 0 1 1 0 0 
00191.png 0 1 0 0 0 0 1 0 0 
00192.png 0 0 0 1 0 0 0 0 0 
00193.png 0 0 1 0 0 0 0 0 0 
00194.png 0 1 0 0 0 0 0 0 0 
00195.png 0 0 1 0 0 0 0 0 1 
00196.png 0 0 0 1 0 0 1 0 0 
00197.png 0 0 1 0 0 0 0 0 0 
00198.png 0 0 1 0 0 0 1 1 0 
00199.png 0 0 1 0 0 0 1 1 0 
00200.png 0 0 1 0 0 0 0 0 0 
00201.png 0 0 0 0 1 0 0 0 0 
00202.png 0 1 0 0 0 0 0 0 0 
00203.png 0 0 1 0 0 0 0 0 0 
00204.png 0 0 1 0 0 0 1 0 0 
00205.png 0 0 1 0 0 0 0 0 0 
00206.png 0 0 0 1 0 0 0 0 0 
00207.png 0 0 1 0 0 0 0 0 0 
00208.png 0 1 0 0 0 0 0 0 0 
00209.png 0 1 0 0 0 0 0 0 0 
00210.png 0 1 0 0 0 0 0 0 0 
00211.png 0 0 0 1 0 0 1 0 0 
00212.png 0 0 1 0 0 0 0 0 0 
00213.png 0 0 0 1 0 0 0 0 0 
00214.png 1 0 0 0 0 0 1 0 0 
00215.png 0 1 0 0 0 0 0 0 0 
00216.png 0 0 1 0 0 0 1 0 0 
00217.png 0 0 1 0 0 0 1 0 0 
00218.png 0 0 0 1 0 0 1 0 0 
00219.png 0 1 0 0 0 0 0 1 0 
00220.png 0 1 0 0 0 0 0 0 0 
00221.png 0 0 1 0 0 0 1 0 0 
00222.png 0 0 1 0 0 0 0 1 0 
00223.png 0 0 0 0 1 0 0 1 0 
00224.png 0 1 0 0 0 0 1 1 0 
00225.png 0 1 0 0 0 0 0 0 0 
00226.png 1 0 0 0 0 0 1 0 0 
00227.png 0 0 0 1 0 0 1 0 0 
00228.png 0 0 0 1 0 0 1 0 0 
00229.png 0 0 0 1 0 0 0 0 0 
00230.png 0 1 0 0 0 0 0 0 0 
00231.png 0 1 0 0 0 0 0 0 0 
00232.png 0 0 0 0 1 0 1 0 0 
00233.png 0 0 0 1 0 0 1 0 0 
00234.png 0 1 0 0 0 0 1 1 0 
00235.png 0 0 1 0 0 0 1 1 0 
00236.png 0 1 0 0 0 0 0 0 0 
00237.png 0 0 1 0 0 0 0 0 0 
00238.png 0 1 0 0 0 0 1 0 0 
00239.png 0 0 1 0 0 0 0 0 0 
00240.png 0 0 0 1 0 0 1 0 0 
00241.png 0 0 0 1 0 0 0 0 0 
00242.png 0 1 0 0 0 0 0 0 0 
00243.png 0 0 0 1 0 0 0 0 0 
00244.png 0 1 0 0 0 0 0 0 0 
00245.png 0 1 0 0 0 0 0 0 0 
00246.png 0 1 0 0 0 0 0 0 0 
00247.png 0 0 1 0 0 0 1 0 0 
00248.png 0 0 0 1 0 0 1 1 0 
00249.png 0 0 1 0 0 0 0 0 0 
00250.png 0 0 0 0 1 0 1 1 0 
00251.png 0 0 0 0 1 0 0 0 0 
00252.png 0 0 1 0 0 0 0 1 0 
00253.png 0 0 1 0 0 0 0 0 0 
00254.png 0 1 0 0 0 0 1 0 0 
00255.png 0 0 0 1 0 0 1 0 0 
00256.png 0 0 0 0 1 0 1 0 0 
00257.png 0 0 0 0 1 0 0 0 0 
00258.png 0 0 0 1 0 0 1 0 0 
00259.png 0 0 0 0 1 0 1 0 0 
00260.png 0 0 1 0 0 0 0 0 0 
00261.png 0 0 0 1 0 0 0 0 0 
00262.png 0 0 0 0 0 1 0 0 0 
00263.png 0 1 0 0 0 0 1 0 0 
00264.png 0 0 0 0 1 0 1 1 0 
00265.png 0 0 0 1 0 0 1 0 0 
00266.png 0 1 0 0 0 0 0 0 0 
00267.png 0 0 0 1 0 0 1 0 0 
00268.png 0 1 0 0 0 0 0 0 0 
00269.png 0 1 0 0 0 0 0 0 0 
00270.png 0 0 0 1 0 0 1 0 0 
00271.png 0 0 1 0 0 0 1 1 0 
00272.png 0 0 0 1 0 0 0 0 0 
00273.png 0 0 0 1 0 0 0 0 1 
00274.png 0 0 0 1 0 0 1 1 0 
00275.png 0 1 0 0 0 0 0 0 0 
00276.png 0 0 0 0 1 0 1 0 0 
00277.png 0 1 0 0 0 0 0 0 0 
00278.png 0 0 0 1 0 0 1 1 0 
00279.png 0 0 1 0 0 0 1 0 0 
00280.png 0 0 0 1 0 0 0 0 0 
00281.png 0 0 0 1 0 0 1 0 0 
00282.png 0 0 0 1 0 0 0 1 0 
00283.png 0 0 0 0 1 0 0 0 0 
00284.png 0 0 1 0 0 0 1 1 0 
00285.png 0 1 0 0 0 0 1 0 0 
00286.png 0 1 0 0 0 0 1 0 0 
00287.png 0 1 0 0 0 0 0 0 0 
00288.png 0 0 1 0 0 0 1 1 0 
00289.png 0 0 1 0 0 0 0 0 0 
00290.png 0 0 1 0 0 0 0 0 0 
00291.png 0 1 0 0 0 0 1 0 0 
00292.png 0 0 1 0 0 0 1 1 0 
00293.png 0 1 0 0 0 0 0 0 0 
00294.png 0 0 0 1 0 0 0 1 0 
00295.png 0 0 0 1 0 0 1 1 0 
00296.png 0 1 0 0 0 0 0 0 0 
00297.png 0 1 0 0 0 0 0 0 0 
00298.png 0 0 0 1 0 0 0 0 0 
00299.png 0 0 1 0 0 0 0 0 0 
00300.png 0 0 1 0 0 0 1 0 0 
00301.png 1 0 0 0 0 0 1 0 0 
00302.png 0 0 1 0 0 0 0 0 0 
00303.png 0 1 0 0 0 0 0 0 0 
00304.png 0 0 1 0 0 0 0 0 0 
00305.png 0 0 0 1 0 0 1 0 1 
00306.png 0 1 0 0 0 0 1 1 0 
00307.png 0 1 0 0 0 0 0 0 0 
00308.png 0 0 1 0 0 0 0 0 0 
00309.png 0 1 0 0 0 0 0 0 0 
00310.png 0 1 0 0 0 0 0 0 0 
00311.png 1 0 0 0 0 0 1 0 0 
00312.png 0 1 0 0 0 0 0 0 0 
00313.png 0 0 0 0 1 0 0 1 0 
00314.png 0 0 1 0 0 0 0 0 0 
00315.png 0 0 0 1 0 0 0 1 0 
00316.png 0 0 0 0 1 0 0 0 0 
00317.png 0 0 0 1 0 0 0 0 0 
00318.png 0 0 0 1 0 0 1 0 0 
00319.png 0 1 0 0 0 0 0 0 0 
00320.png 0 0 1 0 0 0 1 0 0 
00321.png 0 1 0 0 0 0 1 0 0 
00322.png 0 0 0 0 0 1 0 0 0 
00323.png 0 0 0 1 0 0 1 0 0 
00324.png 0 0 0 0 1 0 1 0 0 
00325.png 1 0 0 0 0 0 1 0 0 
00326.png 0 0 0 0 1 0 0 0 0 
00327.png 0 1 0 0 0 0 0 0 0 
00328.png 0 1 0 0 0 0 0 0 0 
00329.png 1 0 0 0 0 0 0 0 0 
00330.png 0 1 0 0 0 0 0 0 0 
00331.png 0 1 0 0 0 0 0 0 0 
00332.png 0 0 1 0 0 0 0 0 0 
00333.png 0 0 0 0 1 0 1 0 0 
00334.png 0 0 1 0 0 0 0 0 0 
00335.png 0 0 0 1 0 0 1 0 0 
00336.png 0 0 1 0 0 0 1 0 0 
00337.png 0 0 1 0 0 0 0 0 0 
00338.png 0 0 1 0 0 0 0 0 0 
00339.png 0 0 0 1 0 0 1 0 0 
00340.png 0 1 0 0 0 0 0 0 0 
00341.png 0 0 1 0 0 0 1 0 0 
00342.png 0 0 1 0 0 0 0 0 0 
00343.png 0 1 0 0 0 0 1 0 0 
00344.png 0 0 1 0 0 0 0 0 0 
00345.png 0 1 0 0 0 0 0 0 0 
00346.png 0 0 0 0 1 0 1 1 0 
00347.png 0 0 0 1 0 0 1 0 0 
00348.png 0 0 1 0 0 0 1 0 0 
00349.png 0 1 0 0 0 0 1 0 0 
00350.png 0 1 0 0 0 0 0 0 0 
00351.png 0 0 0 1 0 0 0 0 0 
00352.png 0 0 0 1 0 0 0 0 0 
00353.png 0 0 0 1 0 0 1 1 0 
00354.png 0 0 1 0 0 0 0 0 0 
00355.png 0 0 1 0 0 0 1 1 0 
00356.png 0 1 0 0 0 0 0 1 0 
00357.png 1 0 0 0 0 0 0 0 0 
00358.png 0 0 0 1 0 0 1 0 1 
00359.png 0 0 0 0 1 0 0 0 0 
00360.png 0 0 0 1 0 0 1 0 0 
00361.png 0 0 1 0 0 0 1 0 0 
00362.png 0 0 0 1 0 0 1 0 1 
00363.png 0 0 1 0 0 0 1 0 0 
00364.png 1 0 0 0 0 0 0 0 0 
00365.png 0 1 0 0 0 0 0 0 0 
00366.png 0 1 0 0 0 0 1 0 0 
00367.png 0 0 0 1 0 0 1 1 0 
00368.png 0 0 1 0 0 0 0 0 0 
00369.png 0 1 0 0 0 0 0 0 0 
00370.png 0 0 0 1 0 0 1 0 1 
00371.png 0 1 0 0 0 0 0 0 0 
00372.png 0 0 0 1 0 0 0 0 0 
00373.png 0 1 0 0 0 0 0 0 0 
00374.png 0 1 0 0 0 0 1 0 0 
00375.png 0 1 0 0 0 0 1 0 0 
00376.png 0 1 0 0 0 0 0 0 0 
00377.png 0 0 0 1 0 0 1 0 1 
00378.png 0 0 0 1 0 0 1 0 0 
00379.png 0 0 0 1 0 0 1 0 1 
00380.png 0 1 0 0 0 0 0 0 0 
00381.png 0 0 1 0 0 0 1 0 0 
00382.png 0 0 0 1 0 0 1 0 0 
00383.png 1 0 0 0 0 0 1 0 0 
00384.png 0 0 1 0 0 0 0 0 0 
00385.png 0 0 0 1 0 0 0 0 0 
00386.png 0 0 0 1 0 0 1 0 0 
00387.png 0 0 0 0 1 0 1 0 0 
00388.png 0 0 0 0 1 0 0 1 0 
00389.png 0 0 0 1 0 0 0 0 0 
00390.png 1 0 0 0 0 0 1 0 0 
00391.png 0 0 0 0 1 0 0 0 0 
00392.png 0 0 0 1 0 0 1 1 0 
00393.png 0 1 0 0 0 0 0 0 0 
00394.png 0 0 0 0 1 0 0 0 0 
00395.png 0 0 0 0 1 0 1 0 0 
00396.png 0 0 0 1 0 0 1 0 0 
00397.png 0 0 0 1 0 0 1 0 0 
00398.png 0 0 1 0 0 0 1 0 0 
00399.png 0 0 0 1 0 0 0 0 0 
00400.png 0 1 0 0 0 0 0 0 0 
00401.png 0 0 0 0 1 0 1 1 0 
00402.png 0 1 0 0 0 0 0 0 0 
00403.png 0 1 0 0 0 0 0 0 0 
00404.png 0 0 0 1 0 0 1 1 0 
00405.png 0 1 0 0 0 0 0 0 0 
00406.png 0 0 0 0 1 0 1 0 0 
00407.png 0 1 0 0 0 0 0 0 0 
00408.png 0 1 0 0 0 0 0 0 0 
00409.png 0 0 0 1 0 0 0 0 0 
00410.png 0 1 0 0 0 0 1 0 0 
00411.png 0 1 0 0 0 0 0 0 0 
00412.png 0 0 0 1 0 0 1 0 1 
00413.png 0 0 1 0 0 0 1 0 0 
00414.png 0 1 0 0 0 0 1 0 0 
00415.png 0 0 0 1 0 0 1 0 0 
00416.png 0 1 0 0 0 0 1 1 0 
00417.png 0 1 0 0 0 0 0 1 0 
00418.png 0 0 1 0 0 0 0 0 0 
00419.png 0 1 0 0 0 0 0 0 0 
00420.png 0 0 0 1 0 0 1 0 0 
00421.png 0 1 0 0 0 0 0 0 0 
00422.png 0 0 0 1 0 0 0 1 0 
00423.png 0 0 0 1 0 0 0 0 0 
00424.png 0 0 1 0 0 0 1 0 0 
00425.png 0 0 0 1 0 0 1 1 0 
00426.png 0 0 1 0 0 0 0 0 0 
00427.png 0 1 0 0 0 0 0 0 0 
00428.png 0 0 0 1 0 0 1 1 0 
00429.png 0 0 0 1 0 0 0 0 0 
00430.png 0 0 0 0 1 0 1 0 0 
00431.png 0 0 1 0 0 0 1 0 0 
00432.png 0 0 1 0 0 0 0 0 0 
00433.png 0 1 0 0 0 0 0 0 0 
00434.png 0 0 0 0 1 0 0 0 0 
00435.png 0 0 0 0 1 0 1 0 0 
00436.png 0 0 0 1 0 0 0 0 0 
00437.png 0 0 1 0 0 0 1 0 0 
00438.png 0 0 0 0 1 0 1 0 0 
00439.png 0 0 0 0 1 0 1 1 0 
00440.png 0 1 0 0 0 0 1 1 0 
00441.png 0 0 1 0 0 0 1 0 0 
00442.png 0 0 1 0 0 0 1 0 0 
00443.png 0 0 1 0 0 0 0 0 0 
00444.png 0 0 0 1 0 0 1 0 0 
00445.png 0 0 0 0 1 0 0 0 0 
00446.png 0 1 0 0 0 0 1 0 0 
00447.png 0 0 0 1 0 0 1 0 0 
00448.png 0 0 1 0 0 0 0 0 0 
00449.png 0 1 0 0 0 0 0 0 0 
00450.png 0 0 1 0 0 0 1 1 0 
00451.png 0 0 0 1 0 0 0 1 0 
00452.png 0 0 0 1 0 0 1 0 0 
00453.png 0 0 0 1 0 0 0 0 0 
00454.png 0 0 0 1 0 0 1 1 0 
00455.png 0 0 1 0 0 0 1 0 0 
00456.png 0 0 0 1 0 0 1 0 0 
00457.png 0 0 0 1 0 0 1 0 0 
00458.png 0 0 1 0 0 0 1 0 0 
00459.png 0 0 0 1 0 0 0 0 0 
00460.png 0 0 1 0 0 0 0 0 0 
00461.png 0 1 0 0 0 0 0 1 0 
00462.png 0 0 1 0 0 0 1 1 0 
00463.png 0 1 0 0 0 0 1 0 0 
00464.png 0 1 0 0 0 0 0 1 0 
00465.png 0 0 0 1 0 0 0 0 0 
00466.png 0 0 0 0 1 0 1 1 0 
00467.png 1 0 0 0 0 0 1 0 0 
00468.png 0 0 0 1 0 0 0 0 0 
00469.png 0 0 1 0 0 0 1 0 0 
00470.png 0 1 0 0 0 0 1 0 0 
00471.png 0 1 0 0 0 0 0 0 0 
00472.png 0 0 1 0 0 0 1 0 0 
00473.png 0 1 0 0 0 0 0 0 0 
00474.png 0 0 1 0 0 0 0 0 0 
00475.png 0 1 0 0 0 0 0 0 0 
00476.png 0 0 0 1 0 0 1 0 0 
00477.png 1 0 0 0 0 0 0 0 0 
00478.png 0 0 1 0 0 0 1 0 0 
00479.png 0 0 1 0 0 0 1 0 0 
00480.png 0 0 1 0 0 0 0 1 0 
00481.png 0 0 1 0 0 0 0 0 0 
00482.png 0 1 0 0 0 0 0 0 0 
00483.png 0 0 1 0 0 0 1 0 0 
00484.png 0 0 0 1 0 0 1 1 0 
00485.png 0 0 1 0 0 0 1 0 0 
00486.png 0 0 1 0 0 0 0 0 0 
00487.png 0 0 0 1 0 0 1 0 1 
00488.png 0 1 0 0 0 0 0 0 0 
00489.png 0 0 0 1 0 0 0 0 0 
00490.png 0 1 0 0 0 0 1 0 0 
00491.png 0 0 0 1 0 0 0 0 0 
00492.png 0 0 0 1 0 0 0 0 0 
00493.png 0 0 1 0 0 0 0 0 0 
00494.png 0 0 0 0 1 0 1 0 0 
00495.png 0 1 0 0 0 0 1 0 0 
00496.png 0 0 0 1 0 0 0 0 0 
00497.png 0 1 0 0 0 0 1 0 0 
00498.png 0 1 0 0 0 0 0 0 0 
00499.png 0 0 0 0 1 0 1 1 0 
00500.png 0 0 0 1 0 0 0 1 0 
00501.png 0 1 0 0 0 0 0 0 0 
00502.png 0 0 1 0 0 0 1 0 0 
00503.png 0 0 0 1 0 0 1 0 0 
00504.png 0 0 0 1 0 0 1 1 0 
00505.png 0 0 0 1 0 0 0 0 0 
00506.png 0 0 0 1 0 0 1 0 0 
00507.png 0 0 1 0 0 0 1 0 0 
00508.png 0 1 0 0 0 0 1 0 0 
00509.png 1 0 0 0 0 0 0 0 0 
00510.png 0 0 1 0 0 0 1 0 0 
00511.png 0 0 0 1 0 0 1 0 0 
00512.png 0 0 0 1 0 0 0 1 0 
00513.png 0 0 0 1 0 0 1 1 0 
00514.png 0 0 0 1 0 0 1 1 0 
00515.png 0 0 1 0 0 0 0 0 0 
00516.png 0 0 0 1 0 0 1 0 0 
00517.png 0 1 0 0 0 0 1 0 0 
00518.png 0 1 0 0 0 0 0 0 0 
00519.png 0 0 0 1 0 0 1 0 0 
00520.png 0 1 0 0 0 0 0 0 0 
00521.png 0 0 0 0 1 0 0 0 0 
00522.png 0 1 0 0 0 0 0 1 0 
00523.png 0 1 0 0 0 0 0 1 0 
00524.png 0 1 0 0 0 0 0 0 0 
00525.png 0 0 0 0 1 0 0 0 0 
00526.png 0 0 0 1 0 0 1 0 0 
00527.png 0 0 0 1 0 0 0 1 0 
00528.png 0 0 0 1 0 0 1 1 0 
00529.png 0 0 0 0 0 1 1 0 0 
00530.png 0 1 0 0 0 0 0 0 0 
00531.png 0 1 0 0 0 0 0 1 0 
00532.png 0 1 0 0 0 0 0 0 0 
00533.png 0 1 0 0 0 0 0 0 0 
00534.png 0 0 1 0 0 0 1 0 0 
00535.png 0 0 1 0 0 0 0 0 1 
00536.png 0 0 0 0 1 0 1 0 0 
00537.png 0 0 0 1 0 0 1 0 0 
00538.png 0 0 0 0 1 0 1 1 0 
00539.png 0 1 0 0 0 0 0 0 0 
00540.png 0 0 1 0 0 0 1 0 0 
00541.png 0 0 0 1 0 0 0 0 0 
00542.png 0 0 0 0 1 0 1 1 0 
00543.png 0 1 0 0 0 0 0 0 0 
00544.png 0 1 0 0 0 0 0 1 0 
00545.png 0 0 0 1 0 0 0 0 0 
00546.png 0 1 0 0 0 0 0 0 0 
00547.png 0 1 0 0 0 0 1 0 0 
00548.png 0 1 0 0 0 0 1 0 0 
00549.png 0 0 0 1 0 0 1 1 0 
00550.png 0 1 0 0 0 0 0 0 0 
00551.png 0 0 0 0 1 0 1 0 0 
00552.png 0 0 1 0 0 0 0 0 0 
00553.png 0 1 0 0 0 0 1 0 0 
00554.png 0 0 0 0 1 0 1 1 0 
00555.png 0 0 1 0 0 0 1 0 0 
00556.png 0 0 0 1 0 0 0 0 0 
00557.png 0 1 0 0 0 0 1 0 0 
00558.png 0 1 0 0 0 0 1 0 0 
00559.png 0 0 1 0 0 0 1 0 0 
00560.png 1 0 0 0 0 0 0 0 0 
00561.png 0 0 0 0 1 0 1 0 0 
00562.png 0 1 0 0 0 0 0 0 0 
00563.png 0 1 0 0 0 0 0 0 0 
00564.png 0 0 1 0 0 0 1 0 0 
00565.png 0 0 0 1 0 0 1 0 1 
00566.png 0 0 0 1 0 0 1 0 0 
00567.png 0 0 0 0 1 0 0 1 0 
00568.png 0 0 0 1 0 0 0 0 0 
00569.png 0 0 0 0 1 0 1 1 0 
00570.png 0 0 0 1 0 0 1 0 0 
00571.png 0 0 0 0 1 0 0 0 0 
00572.png 0 1 0 0 0 0 0 0 0 
00573.png 0 0 0 1 0 0 0 1 0 
00574.png 0 1 0 0 0 0 0 0 0 
00575.png 0 0 1 0 0 0 1 0 0 
00576.png 0 1 0 0 0 0 0 0 0 
00577.png 0 1 0 0 0 0 1 0 0 
